SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
1789,Ocean County,New Jersey,109,"580,470","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1790,Passaic County,New Jersey,131,"502,885","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1791,Salem County,New Jersey,804,"65,774","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
1792,Somerset County,New Jersey,198,"327,707","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1793,Sussex County,New Jersey,427,"147,442","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1794,Union County,New Jersey,118,"543,976","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1795,Warren County,New Jersey,550,"107,653","Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1796,Bernalillo County,New Mexico,92,"673,460","Albuquerque, NM Metropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
1797,Catron County,New Mexico,2932,"3,658",,
1798,Chaves County,New Mexico,803,"65,784","Roswell, NM Micropolitan Statistical Area",
1799,Cibola County,New Mexico,1518,"27,334","Grants, NM Micropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
1800,Colfax County,New Mexico,2229,"13,223",,
1801,Curry County,New Mexico,979,"49,938","Clovis, NM Micropolitan Statistical Area","Clovis-Portales, NM Combined Statistical Area"
1802,De Baca County,New Mexico,3063,"1,927",,
1803,Doña Ana County,New Mexico,295,"214,445","Las Cruces, NM Metropolitan Statistical Area","El Paso-Las Cruces, TX-NM Combined Statistical Area"
1804,Eddy County,New Mexico,919,"54,419","Carlsbad-Artesia, NM Micropolitan Statistical Area",
1805,Grant County,New Mexico,1436,"29,388","Silver City, NM Micropolitan Statistical Area",
1806,Guadalupe County,New Mexico,2864,"4,603",,
1807,Harding County,New Mexico,3129,707,,
1808,Hidalgo County,New Mexico,2851,"4,794",,
1809,Lea County,New Mexico,792,"66,338","Hobbs, NM Micropolitan Statistical Area",
1810,Lincoln County,New Mexico,1824,"20,309",,
1811,Los Alamos County,New Mexico,1912,"18,159","Los Alamos, NM Micropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
1812,Luna County,New Mexico,1607,"25,041","Deming, NM Micropolitan Statistical Area",
1813,McKinley County,New Mexico,744,"73,016","Gallup, NM Micropolitan Statistical Area",
1814,Mora County,New Mexico,2858,"4,705",,
1815,Otero County,New Mexico,797,"66,041","Alamogordo, NM Micropolitan Statistical Area",
1816,Quay County,New Mexico,2536,"8,769",,
1817,Rio Arriba County,New Mexico,1170,"40,318","Española, NM Micropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
1818,Roosevelt County,New Mexico,1820,"20,419","Portales, NM Micropolitan Statistical Area","Clovis-Portales, NM Combined Statistical Area"
1819,Sandoval County,New Mexico,460,"135,588","Albuquerque, NM Metropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
1820,San Juan County,New Mexico,481,"128,529","Farmington, NM Metropolitan Statistical Area",
1821,San Miguel County,New Mexico,1454,"28,891","Las Vegas, NM Micropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
1822,Santa Fe County,New Mexico,433,"146,375","Santa Fe, NM Metropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
1823,Sierra County,New Mexico,2304,"11,895",,
1824,Socorro County,New Mexico,1942,"17,603",,
1825,Taos County,New Mexico,1361,"32,779","Taos, NM Micropolitan Statistical Area",
1826,Torrance County,New Mexico,2046,"16,021","Albuquerque, NM Metropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
1827,Union County,New Mexico,2873,"4,431",,
1828,Valencia County,New Mexico,715,"76,631","Albuquerque, NM Metropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
1829,Albany County,New York,212,"305,455","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1830,Allegany County,New York,1005,"48,357",,
1831,Bronx County,New York,26,"1,408,473","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1832,Broome County,New York,324,"198,060","Binghamton, NY Metropolitan Statistical Area",
1833,Cattaraugus County,New York,691,"79,458","Olean, NY Micropolitan Statistical Area","Buffalo-Cheektowaga, NY Combined Statistical Area"
1834,Cayuga County,New York,690,"79,552","Auburn, NY Micropolitan Statistical Area","Syracuse-Auburn, NY Combined Statistical Area"
1835,Chautauqua County,New York,469,"133,539","Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area",
1836,Chemung County,New York,643,"88,911","Elmira, NY Metropolitan Statistical Area","Elmira-Corning, NY Combined Statistical Area"
1837,Chenango County,New York,980,"49,933",,
1838,Clinton County,New York,680,"81,654","Plattsburgh, NY Micropolitan Statistical Area",
1839,Columbia County,New York,837,"62,499","Hudson, NY Micropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1840,Cortland County,New York,992,"49,474","Cortland, NY Micropolitan Statistical Area","Ithaca-Cortland, NY Combined Statistical Area"
1841,Delaware County,New York,1023,"47,276",,
1842,Dutchess County,New York,223,"297,322","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1843,Erie County,New York,54,"919,086","Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area","Buffalo-Cheektowaga, NY Combined Statistical Area"
1844,Essex County,New York,1196,"38,961",,
1845,Franklin County,New York,959,"51,795","Malone, NY Micropolitan Statistical Area",
1846,Fulton County,New York,913,"54,925","Gloversville, NY Micropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1847,Genesee County,New York,865,"59,977","Batavia, NY Micropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
1848,Greene County,New York,1003,"48,673",,
1849,Hamilton County,New York,2854,"4,778",,
1850,Herkimer County,New York,816,"64,508","Utica-Rome, NY Metropolitan Statistical Area",
1851,Jefferson County,New York,508,"120,262","Watertown-Fort Drum, NY Metropolitan Statistical Area",
1852,Kings County,New York,8,"2,565,635","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1853,Lewis County,New York,1522,"27,224",,
1854,Livingston County,New York,814,"64,810","Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
1855,Madison County,New York,747,"72,382","Syracuse, NY Metropolitan Statistical Area","Syracuse-Auburn, NY Combined Statistical Area"
1856,Monroe County,New York,79,"747,813","Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
1857,Montgomery County,New York,978,"49,941","Amsterdam, NY Micropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1858,Nassau County,New York,28,"1,349,233","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1859,New York County,New York,20,"1,619,090","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1860,Niagara County,New York,292,"215,124","Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area","Buffalo-Cheektowaga, NY Combined Statistical Area"
1861,Oneida County,New York,277,"233,556","Utica-Rome, NY Metropolitan Statistical Area",
1862,Onondaga County,New York,143,"466,852","Syracuse, NY Metropolitan Statistical Area","Syracuse-Auburn, NY Combined Statistical Area"
1863,Ontario County,New York,545,"108,519","Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
1864,Orange County,New York,177,"374,512","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1865,Orleans County,New York,1117,"42,836","Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
1866,Oswego County,New York,505,"121,700","Syracuse, NY Metropolitan Statistical Area","Syracuse-Auburn, NY Combined Statistical Area"
1867,Otsego County,New York,842,"61,709","Oneonta, NY Micropolitan Statistical Area",
1868,Putnam County,New York,591,"99,607","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1869,Queens County,New York,10,"2,272,771","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1870,Rensselaer County,New York,394,"159,835","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1871,Richmond County,New York,140,"470,728","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1872,Rockland County,New York,206,"317,757","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1873,St. Lawrence County,New York,535,"112,232","Ogdensburg-Massena, NY Micropolitan Statistical Area",
1874,Saratoga County,New York,284,"222,133","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1875,Schenectady County,New York,407,"155,124","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1876,Schoharie County,New York,1387,"32,099","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1877,Schuyler County,New York,1895,"18,514",,
1878,Seneca County,New York,1295,"35,305","Seneca Falls, NY Micropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
1879,Steuben County,New York,592,"99,063","Corning, NY Micropolitan Statistical Area","Elmira-Corning, NY Combined Statistical Area"
1880,Suffolk County,New York,24,"1,499,273","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1881,Sullivan County,New York,714,"76,793",,
1882,Tioga County,New York,971,"50,478","Binghamton, NY Metropolitan Statistical Area",
1883,Tompkins County,New York,570,"102,554","Ithaca, NY Metropolitan Statistical Area","Ithaca-Cortland, NY Combined Statistical Area"
1884,Ulster County,New York,347,"181,791","Kingston, NY Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1885,Warren County,New York,807,"65,538","Glens Falls, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1886,Washington County,New York,827,"62,934","Glens Falls, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1887,Wayne County,New York,620,"92,962","Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
1888,Westchester County,New York,46,"961,670","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1889,Wyoming County,New York,1131,"41,892",,
1890,Yates County,New York,1597,"25,344","Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
1891,Alamance County,North Carolina,410,"153,920","Burlington, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
1892,Alexander County,North Carolina,1252,"36,853","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area","Hickory-Lenoir, NC Combined Statistical Area"
1893,Alleghany County,North Carolina,2365,"10,927",,
1894,Anson County,North Carolina,1547,"26,351",,
1895,Ashe County,North Carolina,1527,"27,097",,
1896,Avery County,North Carolina,1939,"17,635",,
1897,Beaufort County,North Carolina,1020,"47,507","Washington, NC Micropolitan Statistical Area","Greenville-Washington, NC Combined Statistical Area"
1898,Bertie County,North Carolina,1801,"20,653",,
1899,Bladen County,North Carolina,1302,"34,915",,
1900,Brunswick County,North Carolina,534,"112,257","Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area","Myrtle Beach-Conway, SC-NC Combined Statistical Area"
1901,Buncombe County,North Carolina,268,"244,490","Asheville, NC Metropolitan Statistical Area","Asheville-Brevard, NC Combined Statistical Area"
1902,Burke County,North Carolina,634,"90,505","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area","Hickory-Lenoir, NC Combined Statistical Area"
1903,Cabarrus County,North Carolina,342,"184,498","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","Charlotte-Concord, NC-SC Combined Statistical Area"
1904,Caldwell County,North Carolina,676,"81,930","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area","Hickory-Lenoir, NC Combined Statistical Area"
1905,Camden County,North Carolina,2436,"10,090","Elizabeth City, NC Micropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
1906,Carteret County,North Carolina,783,"67,632","Morehead City, NC Micropolitan Statistical Area","New Bern-Morehead City, NC Combined Statistical Area"
1907,Caswell County,North Carolina,1680,"23,217",,
1908,Catawba County,North Carolina,408,"154,339","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area","Hickory-Lenoir, NC Combined Statistical Area"
1909,Chatham County,North Carolina,799,"65,976","Durham-Chapel Hill, NC Metropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1910,Cherokee County,North Carolina,1530,"26,992",,
1911,Chowan County,North Carolina,2124,"14,772",,
1912,Clay County,North Carolina,2387,"10,618",,
1913,Cleveland County,North Carolina,600,"97,474","Shelby, NC Micropolitan Statistical Area","Charlotte-Concord, NC-SC Combined Statistical Area"
1914,Columbus County,North Carolina,885,"57,638",,
1915,Craven County,North Carolina,562,"104,770","New Bern, NC Metropolitan Statistical Area","New Bern-Morehead City, NC Combined Statistical Area"
1916,Cumberland County,North Carolina,200,"324,049","Fayetteville, NC Metropolitan Statistical Area","Fayetteville-Lumberton-Laurinburg, NC Combined Statistical Area"
1917,Currituck County,North Carolina,1640,"24,077","Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
1918,Dare County,North Carolina,1310,"34,573","Kill Devil Hills, NC Micropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
1919,Davidson County,North Carolina,383,"163,260","Winston-Salem, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
1920,Davie County,North Carolina,1142,"41,433","Winston-Salem, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
1921,Duplin County,North Carolina,864,"60,033",,
1922,Durham County,North Carolina,238,"279,641","Durham-Chapel Hill, NC Metropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1923,Edgecombe County,North Carolina,904,"55,954","Rocky Mount, NC Metropolitan Statistical Area","Rocky Mount-Wilson-Roanoke Rapids, NC Combined Statistical Area"
1924,Forsyth County,North Carolina,186,"358,137","Winston-Salem, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
1925,Franklin County,North Carolina,845,"61,475","Raleigh, NC Metropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1926,Gaston County,North Carolina,303,"208,049","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","Charlotte-Concord, NC-SC Combined Statistical Area"
1927,Gates County,North Carolina,2306,"11,869","Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
1928,Graham County,North Carolina,2548,"8,700",,
1929,Granville County,North Carolina,857,"60,436","Oxford, NC Micropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1930,Greene County,North Carolina,1759,"21,429",,
1931,Guilford County,North Carolina,132,"500,879","Greensboro-High Point, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
1932,Halifax County,North Carolina,925,"54,006","Roanoke Rapids, NC Micropolitan Statistical Area","Rocky Mount-Wilson-Roanoke Rapids, NC Combined Statistical Area"
1933,Harnett County,North Carolina,502,"122,135","Dunn, NC Micropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1934,Haywood County,North Carolina,877,"58,908","Asheville, NC Metropolitan Statistical Area","Asheville-Brevard, NC Combined Statistical Area"
1935,Henderson County,North Carolina,547,"108,266","Asheville, NC Metropolitan Statistical Area","Asheville-Brevard, NC Combined Statistical Area"
1936,Hertford County,North Carolina,1628,"24,438",,
1937,Hoke County,North Carolina,970,"50,536","Fayetteville, NC Metropolitan Statistical Area","Fayetteville-Lumberton-Laurinburg, NC Combined Statistical Area"
1938,Hyde County,North Carolina,2776,"5,859",,
1939,Iredell County,North Carolina,385,"162,708","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","Charlotte-Concord, NC-SC Combined Statistical Area"
1940,Jackson County,North Carolina,1167,"40,448","Cullowhee, NC Micropolitan Statistical Area",
1941,Johnston County,North Carolina,358,"174,938","Raleigh, NC Metropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1942,Jones County,North Carolina,2420,"10,275","New Bern, NC Metropolitan Statistical Area","New Bern-Morehead City, NC Combined Statistical Area"
1943,Lee County,North Carolina,867,"59,715","Sanford, NC Micropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1944,Lenoir County,North Carolina,873,"59,227","Kinston, NC Micropolitan Statistical Area",
1945,Lincoln County,North Carolina,692,"79,313","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","Charlotte-Concord, NC-SC Combined Statistical Area"
1946,McDowell County,North Carolina,1068,"44,998","Marion, NC Micropolitan Statistical Area","Hickory-Lenoir, NC Combined Statistical Area"
1947,Macon County,North Carolina,1329,"33,869",,
1948,Madison County,North Carolina,1793,"20,742","Asheville, NC Metropolitan Statistical Area","Asheville-Brevard, NC Combined Statistical Area"
1949,Martin County,North Carolina,1645,"23,961",,
1950,Mecklenburg County,North Carolina,45,"969,031","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","Charlotte-Concord, NC-SC Combined Statistical Area"
1951,Mitchell County,North Carolina,2084,"15,368",,
1952,Montgomery County,North Carolina,1505,"27,668",,
1953,Moore County,North Carolina,635,"90,302","Pinehurst-Southern Pines, NC Micropolitan Statistical Area",
1954,Nash County,North Carolina,608,"95,708","Rocky Mount, NC Metropolitan Statistical Area","Rocky Mount-Wilson-Roanoke Rapids, NC Combined Statistical Area"
1955,New Hanover County,North Carolina,299,"209,234","Wilmington, NC Metropolitan Statistical Area",
1956,Northampton County,North Carolina,1760,"21,428","Roanoke Rapids, NC Micropolitan Statistical Area","Rocky Mount-Wilson-Roanoke Rapids, NC Combined Statistical Area"
1957,Onslow County,North Carolina,344,"183,263","Jacksonville, NC Metropolitan Statistical Area",
1958,Orange County,North Carolina,453,"137,941","Durham-Chapel Hill, NC Metropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1959,Pamlico County,North Carolina,2236,"13,074","New Bern, NC Metropolitan Statistical Area","New Bern-Morehead City, NC Combined Statistical Area"
1960,Pasquotank County,North Carolina,1165,"40,591","Elizabeth City, NC Micropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
1961,Pender County,North Carolina,922,"54,195","Wilmington, NC Metropolitan Statistical Area",
1962,Perquimans County,North Carolina,2211,"13,563","Elizabeth City, NC Micropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
1963,Person County,North Carolina,1192,"39,268","Durham-Chapel Hill, NC Metropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1964,Pitt County,North Carolina,361,"172,554","Greenville, NC Metropolitan Statistical Area","Greenville-Washington, NC Combined Statistical Area"
1965,Polk County,North Carolina,1827,"20,271",,
1966,Randolph County,North Carolina,442,"142,466","Greensboro-High Point, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
1967,Richmond County,North Carolina,1037,"46,627","Rockingham, NC Micropolitan Statistical Area",
1968,Robeson County,North Carolina,461,"135,496","Lumberton, NC Micropolitan Statistical Area","Fayetteville-Lumberton-Laurinburg, NC Combined Statistical Area"
1969,Rockingham County,North Carolina,623,"92,720","Greensboro-High Point, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
1970,Rowan County,North Carolina,451,"138,180","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","Charlotte-Concord, NC-SC Combined Statistical Area"
1971,Rutherford County,North Carolina,786,"67,323","Forest City, NC Micropolitan Statistical Area",
1972,Sampson County,North Carolina,821,"63,949",,
1973,Scotland County,North Carolina,1274,"36,094","Laurinburg, NC Micropolitan Statistical Area","Fayetteville-Lumberton-Laurinburg, NC Combined Statistical Area"
1974,Stanly County,North Carolina,853,"60,576","Albemarle, NC Micropolitan Statistical Area","Charlotte-Concord, NC-SC Combined Statistical Area"
1975,Stokes County,North Carolina,1031,"46,783","Winston-Salem, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
1976,Surry County,North Carolina,740,"73,561","Mount Airy, NC Micropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
1977,Swain County,North Carolina,2166,"14,141",,
1978,Transylvania County,North Carolina,1360,"32,849","Brevard, NC Micropolitan Statistical Area","Asheville-Brevard, NC Combined Statistical Area"
1979,Tyrrell County,North Carolina,2881,"4,338","Kill Devil Hills, NC Micropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
1980,Union County,North Carolina,302,"208,520","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","Charlotte-Concord, NC-SC Combined Statistical Area"
1981,Vance County,North Carolina,1065,"45,132","Henderson, NC Micropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1982,Wake County,North Carolina,48,"952,151","Raleigh, NC Metropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1983,Warren County,North Carolina,1807,"20,576",,
1984,Washington County,North Carolina,2258,"12,736",,
1985,Watauga County,North Carolina,958,"51,871","Boone, NC Micropolitan Statistical Area",
1986,Wayne County,North Carolina,492,"124,246","Goldsboro, NC Metropolitan Statistical Area",
1987,Wilkes County,North Carolina,767,"69,306","North Wilkesboro, NC Micropolitan Statistical Area",
1988,Wilson County,North Carolina,677,"81,867","Wilson, NC Micropolitan Statistical Area","Rocky Mount-Wilson-Roanoke Rapids, NC Combined Statistical Area"
1989,Yadkin County,North Carolina,1218,"38,084","Winston-Salem, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
1990,Yancey County,North Carolina,1940,"17,630",,
1991,Adams County,North Dakota,3027,"2,311",,
1992,Barnes County,North Dakota,2356,"11,015",,
1993,Benson County,North Dakota,2702,"6,760",,
1994,Billings County,North Dakota,3113,905,,
1995,Bottineau County,North Dakota,2717,"6,579",,
1996,Bowman County,North Dakota,2960,"3,202",,
1997,Burke County,North Dakota,3040,"2,171",,
1998,Burleigh County,North Dakota,659,"85,774","Bismarck, ND Metropolitan Statistical Area",
1999,Cass County,North Dakota,403,"156,157","Fargo, ND-MN Metropolitan Statistical Area","Fargo-Wahpeton, ND-MN Combined Statistical Area"
2000,Cavalier County,North Dakota,2912,"3,948",,
2001,Dickey County,North Dakota,2822,"5,268",,
2002,Divide County,North Dakota,3034,"2,228",,
2003,Dunn County,North Dakota,2910,"3,967",,
2004,Eddy County,North Dakota,3019,"2,368",,
2005,Emmons County,North Dakota,2941,"3,491",,
2006,Foster County,North Dakota,2947,"3,392",,
2007,Golden Valley County,North Dakota,3070,"1,804",,
2008,Grand Forks County,North Dakota,784,"67,472","Grand Forks, ND-MN Metropolitan Statistical Area",
2009,Grant County,North Dakota,3022,"2,333",,
2010,Griggs County,North Dakota,3020,"2,362",,
2011,Hettinger County,North Dakota,3005,"2,553",,
2012,Kidder County,North Dakota,3012,"2,426",,
2013,LaMoure County,North Dakota,2893,"4,114",,
2014,Logan County,North Dakota,3064,"1,924",,
2015,McHenry County,North Dakota,2780,"5,789","Minot, ND Micropolitan Statistical Area",
2016,McIntosh County,North Dakota,2993,"2,751",,
2017,McKenzie County,North Dakota,2600,"7,987",,
2018,McLean County,North Dakota,2493,"9,309",,
2019,Mercer County,North Dakota,2565,"8,486",,
2020,Morton County,North Dakota,1490,"28,101","Bismarck, ND Metropolitan Statistical Area",
2021,Mountrail County,North Dakota,2541,"8,734",,
2022,Nelson County,North Dakota,2971,"3,080",,
2023,Oliver County,North Dakota,3069,"1,838","Bismarck, ND Metropolitan Statistical Area",
2024,Pembina County,North Dakota,2655,"7,271",,
2025,Pierce County,North Dakota,2871,"4,457",,
2026,Ramsey County,North Dakota,2325,"11,536",,
2027,Ransom County,North Dakota,2810,"5,444",,
2028,Renville County,North Dakota,3004,"2,559","Minot, ND Micropolitan Statistical Area",
2029,Richland County,North Dakota,2029,"16,217","Wahpeton, ND-MN Micropolitan Statistical Area","Fargo-Wahpeton, ND-MN Combined Statistical Area"
2030,Rolette County,North Dakota,2144,"14,382",,
2031,Sargent County,North Dakota,2916,"3,896",,
2032,Sheridan County,North Dakota,3097,"1,266",,
2033,Sioux County,North Dakota,2879,"4,347","Bismarck, ND Metropolitan Statistical Area",
2034,Slope County,North Dakota,3124,758,,
2035,Stark County,North Dakota,1537,"26,771","Dickinson, ND Micropolitan Statistical Area",
2036,Steele County,North Dakota,3055,"1,989",,
2037,Stutsman County,North Dakota,1781,"20,934","Jamestown, ND Micropolitan Statistical Area",
2038,Towner County,North Dakota,3026,"2,318",,
2039,Traill County,North Dakota,2597,"8,072",,
2040,Walsh County,North Dakota,2354,"11,046",,
2041,Ward County,North Dakota,815,"64,798","Minot, ND Micropolitan Statistical Area",
2042,Wells County,North Dakota,2884,"4,271",,
2043,Williams County,North Dakota,1539,"26,697","Williston, ND Micropolitan Statistical Area",
2044,Adams County,Ohio,1477,"28,350",,
2045,Allen County,Ohio,561,"105,141","Lima, OH Metropolitan Statistical Area","Lima-Van Wert-Celina, OH Combined Statistical Area"
2046,Ashland County,Ohio,940,"52,962","Ashland, OH Micropolitan Statistical Area","Mansfield-Ashland-Bucyrus, OH Combined Statistical Area"
2047,Ashtabula County,Ohio,585,"100,389","Ashtabula, OH Micropolitan Statistical Area","Cleveland-Akron-Canton, OH Combined Statistical Area"
2048,Athens County,Ohio,818,"64,304","Athens, OH Micropolitan Statistical Area",
2049,Auglaize County,Ohio,1051,"45,831","Wapakoneta, OH Micropolitan Statistical Area","Lima-Van Wert-Celina, OH Combined Statistical Area"
2050,Belmont County,Ohio,763,"69,671","Wheeling, WV-OH Metropolitan Statistical Area",
