SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
1259,Grand Traverse County,Michigan,642,"89,112","Traverse City, MI Micropolitan Statistical Area",
1260,Gratiot County,Michigan,1129,"42,063","Alma, MI Micropolitan Statistical Area","Mount Pleasant-Alma, MI Combined Statistical Area"
1261,Hillsdale County,Michigan,1044,"46,229","Hillsdale, MI Micropolitan Statistical Area",
1262,Houghton County,Michigan,1261,"36,520","Houghton, MI Micropolitan Statistical Area",
1263,Huron County,Michigan,1377,"32,463",,
1264,Ingham County,Michigan,235,"281,723","Lansing-East Lansing, MI Metropolitan Statistical Area","Lansing-East Lansing-Owosso, MI Combined Statistical Area"
1265,Ionia County,Michigan,822,"63,941","Ionia, MI Micropolitan Statistical Area","Grand Rapids-Wyoming-Muskegon, MI Combined Statistical Area"
1266,Iosco County,Michigan,1596,"25,357",,
1267,Iron County,Michigan,2324,"11,587",,
1268,Isabella County,Michigan,757,"70,617","Mount Pleasant, MI Micropolitan Statistical Area","Mount Pleasant-Alma, MI Combined Statistical Area"
1269,Jackson County,Michigan,393,"160,309","Jackson, MI Metropolitan Statistical Area",
1270,Kalamazoo County,Michigan,260,"254,580","Kalamazoo-Portage, MI Metropolitan Statistical Area","Kalamazoo-Battle Creek-Portage, MI Combined Statistical Area"
1271,Kalkaska County,Michigan,1971,"17,099","Traverse City, MI Micropolitan Statistical Area",
1272,Kent County,Michigan,106,"614,462","Grand Rapids-Wyoming, MI Metropolitan Statistical Area","Grand Rapids-Wyoming-Muskegon, MI Combined Statistical Area"
1273,Keweenaw County,Michigan,3036,"2,215","Houghton, MI Micropolitan Statistical Area",
1274,Lake County,Michigan,2328,"11,498",,
1275,Lapeer County,Michigan,647,"88,173","Detroit-Warren-Dearborn, MI Metropolitan Statistical Area","Detroit-Warren-Ann Arbor, MI Combined Statistical Area"
1276,Leelanau County,Michigan,1749,"21,607","Traverse City, MI Micropolitan Statistical Area",
1277,Lenawee County,Michigan,593,"98,987","Adrian, MI Micropolitan Statistical Area","Detroit-Warren-Ann Arbor, MI Combined Statistical Area"
1278,Livingston County,Michigan,345,"182,838","Detroit-Warren-Dearborn, MI Metropolitan Statistical Area","Detroit-Warren-Ann Arbor, MI Combined Statistical Area"
1279,Luce County,Michigan,2721,"6,522",,
1280,Mackinac County,Michigan,2350,"11,137",,
1281,Macomb County,Michigan,62,"847,383","Detroit-Warren-Dearborn, MI Metropolitan Statistical Area","Detroit-Warren-Ann Arbor, MI Combined Statistical Area"
1282,Manistee County,Michigan,1618,"24,672",,
1283,Marquette County,Michigan,782,"67,906","Marquette, MI Micropolitan Statistical Area",
1284,Mason County,Michigan,1460,"28,680","Ludington, MI Micropolitan Statistical Area",
1285,Mecosta County,Michigan,1102,"43,318","Big Rapids, MI Micropolitan Statistical Area","Grand Rapids-Wyoming-Muskegon, MI Combined Statistical Area"
1286,Menominee County,Michigan,1653,"23,815","Marinette, WI-MI Micropolitan Statistical Area",
1287,Midland County,Michigan,667,"83,822","Midland, MI Metropolitan Statistical Area","Saginaw-Midland-Bay City, MI Combined Statistical Area"
1288,Missaukee County,Michigan,2104,"15,031","Cadillac, MI Micropolitan Statistical Area",
1289,Monroe County,Michigan,419,"151,048","Monroe, MI Metropolitan Statistical Area","Detroit-Warren-Ann Arbor, MI Combined Statistical Area"
1290,Montcalm County,Michigan,826,"63,097","Grand Rapids-Wyoming, MI Metropolitan Statistical Area","Grand Rapids-Wyoming-Muskegon, MI Combined Statistical Area"
1291,Montmorency County,Michigan,2473,"9,476",,
1292,Muskegon County,Michigan,365,"170,182","Muskegon, MI Metropolitan Statistical Area","Grand Rapids-Wyoming-Muskegon, MI Combined Statistical Area"
1293,Newaygo County,Michigan,1014,"47,959",,
1294,Oakland County,Michigan,32,"1,220,657","Detroit-Warren-Dearborn, MI Metropolitan Statistical Area","Detroit-Warren-Ann Arbor, MI Combined Statistical Area"
1295,Oceana County,Michigan,1549,"26,310",,
1296,Ogemaw County,Michigan,1758,"21,437",,
1297,Ontonagon County,Michigan,2730,"6,413",,
1298,Osceola County,Michigan,1676,"23,276",,
1299,Oscoda County,Michigan,2557,"8,592",,
1300,Otsego County,Michigan,1643,"24,020",,
1301,Ottawa County,Michigan,246,"269,099","Grand Rapids-Wyoming, MI Metropolitan Statistical Area","Grand Rapids-Wyoming-Muskegon, MI Combined Statistical Area"
1302,Presque Isle County,Michigan,2233,"13,129",,
1303,Roscommon County,Michigan,1638,"24,106",,
1304,Saginaw County,Michigan,323,"198,353","Saginaw, MI Metropolitan Statistical Area","Saginaw-Midland-Bay City, MI Combined Statistical Area"
1305,St. Clair County,Michigan,391,"160,644","Detroit-Warren-Dearborn, MI Metropolitan Statistical Area","Detroit-Warren-Ann Arbor, MI Combined Statistical Area"
1306,St. Joseph County,Michigan,851,"60,796","Sturgis, MI Micropolitan Statistical Area","Kalamazoo-Battle Creek-Portage, MI Combined Statistical Area"
1307,Sanilac County,Michigan,1126,"42,268",,
1308,Schoolcraft County,Michigan,2576,"8,343",,
1309,Shiawassee County,Michigan,768,"69,232","Owosso, MI Micropolitan Statistical Area","Lansing-East Lansing-Owosso, MI Combined Statistical Area"
1310,Tuscola County,Michigan,915,"54,662",,
1311,Van Buren County,Michigan,725,"75,454","Kalamazoo-Portage, MI Metropolitan Statistical Area","Kalamazoo-Battle Creek-Portage, MI Combined Statistical Area"
1312,Washtenaw County,Michigan,189,"350,946","Ann Arbor, MI Metropolitan Statistical Area","Detroit-Warren-Ann Arbor, MI Combined Statistical Area"
1313,Wayne County,Michigan,18,"1,792,365","Detroit-Warren-Dearborn, MI Metropolitan Statistical Area","Detroit-Warren-Ann Arbor, MI Combined Statistical Area"
1314,Wexford County,Michigan,1369,"32,608","Cadillac, MI Micropolitan Statistical Area",
1315,Aitkin County,Minnesota,2051,"15,927",,
1316,Anoka County,Minnesota,194,"336,414","Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area","Minneapolis-St. Paul, MN-WI Combined Statistical Area"
1317,Becker County,Minnesota,1354,"33,000",,
1318,Beltrami County,Minnesota,1060,"45,375","Bemidji, MN Micropolitan Statistical Area",
1319,Benton County,Minnesota,1200,"38,865","St. Cloud, MN Metropolitan Statistical Area","Minneapolis-St. Paul, MN-WI Combined Statistical Area"
1320,Big Stone County,Minnesota,2829,"5,164",,
1321,Blue Earth County,Minnesota,809,"65,091","Mankato-North Mankato, MN Metropolitan Statistical Area","Mankato-New Ulm-North Mankato, MN Combined Statistical Area"
1322,Brown County,Minnesota,1592,"25,425","New Ulm, MN Micropolitan Statistical Area","Mankato-New Ulm-North Mankato, MN Combined Statistical Area"
1323,Carlton County,Minnesota,1294,"35,348","Duluth, MN-WI Metropolitan Statistical Area",
